,Location,Total salary,Average salary,occupation_name
91,"Austin City (Southeast) PUMA, TX",3216684692.0,43713.50242974769,Radiologic technologists and technicians
458,"Columbia Borough PUMA, PA",3214199440.0,44983.275599341425,"Dispatchers, except police, fire, and ambulance"
1586,"Olmsted Township, Bay Village, North Olmsted & Westlake Cities PUMA, OH",3213470343.0,45055.73436286407,Chief executives & legislators
216,"Brandermill & Woodlake PUMA, VA",3212206470.0,44863.84341011748,"Heating, air conditioning, & refrigeration mechanics & installers"
1435,"Morgantown City PUMA, WV",3210157414.0,43474.96080697277,Graphic designers
1814,"Richmond Hill & Woodhaven PUMA, NY",3206198331.0,43540.61334293563,"Grinding, lapping, polishing, and buffing machine tool setters, operators, and tenders, metal and plastic"
397,"Chula Vista (West) & National City Cities PUMA, CA",3205223904.0,40029.754401391125,Security guards & gaming surveillance officers
1867,"Salmon Creek & Hazel Dell PUMA, WA",3203281798.0,43136.50312968928,Project management specialists
1012,"Inner Cape Cod Towns & Barnstable Town City PUMA, MA",3202464115.0,43767.76294765333,"Purchasing agents, except wholesale, retail, & farm products"
1737,"Pompano Beach (South) & Fort Lauderdale (Northeast) Cities PUMA, FL",3201706859.0,46294.42277697396,Firstline supervisors of nonretail sales workers
113,"Barrow & Jackson Counties PUMA, GA",3199863239.0,42079.57945025014,Security guards & gaming surveillance officers
121,"Battle Ground City & Orchards PUMA, WA",3199468591.0,44060.38842728224,Bartenders
1711,"Pima County (Northeast) PUMA, AZ",3196625592.0,49605.14302612879,Bartenders
449,"Colorado Springs City (East) & Cimarron Hills PUMA, CO",3196125518.0,45961.854124462196,File clerks
24,"Alhambra & South Pasadena Cities PUMA, CA",3195449008.0,43605.50334987729,Market research analysts & marketing specialists
866,"Greenville City PUMA, NC",3194481108.0,43692.920028127155,Correctional officers and jailers
200,"Boise (South) & Kuna Cities PUMA, ID",3194327750.0,46335.05045777635,"Drywall installers, ceiling tile installers, & tapers"
134,"Beaver County (South) PUMA, PA",3192910726.0,42550.31352416393,Nonfarm animal caretakers
1675,"Perry Hall, Middle River & Rosedale PUMA, MD",3187770667.0,45009.33893566009,Dental hygienists
779,"Gardena, Lawndale Cities & West Athens PUMA, CA",3187734450.0,41759.807823577794,Social & community service managers
691,"Everett City (Central & East) & Eastmont PUMA, WA",3187405988.0,41917.22022308349,Public safety telecommunicators
1796,"Redding City PUMA, CA",3186202539.0,42890.115572764655,Small engine mechanics
1346,"Mercer County (South) PUMA, NJ",3186173578.0,45209.91874243669,"Miscellaneous installation, maintenance, & repair workers, including wind turbine service technicians"
0,"Aberdeen & Havre de Grace Cities PUMA, MD",3184687777.0,46201.45510456807,General & operations managers
1154,"La Mirada & Santa Fe Springs Cities PUMA, CA",3182995683.0,42488.922537811384,Painters & paperhangers
1919,"Santa Ana City (East) PUMA, CA",3182262855.0,41564.926425641585,Home health aides
1370,"Middle Peninsula, Northern Neck & Accomack-Northampton Planning District Commissions PUMA, VA",3179774036.0,42992.282766069045,Locomotive engineers & operators
1457,"Nampa (Central & East) & Meridian (West) Cities PUMA, ID",3177756274.0,42914.11731763477,Miscellaneous health technologists & technicians
1917,"Sandy (North), Cottonwood Heights & Midvale Cities PUMA, UT",3177390826.0,45130.536541744186,"Opticians, dispensing"
423,"Cleveland City PUMA, TN",3177212649.0,41004.192707337046,Childcare workers
1001,"Imperial Calcasieu Regional Planning & Development District 1 (North) PUMA, LA",3176093686.0,41769.969505199864,Purchasing managers
1349,"Meridian (Northeast) & Boise (Far West) Cities PUMA, ID",3176006648.0,45253.67418126001,Bakers
742,"Fort Worth City (Southeast)South of I-20 PUMA, TX",3173480828.0000005,42076.13670835233,Cutting workers
1096,"Kansas City (South) PUMA, MO",3173210177.0,43756.807858505475,Fast food and counter workers
2082,"St. Paul City (East) PUMA, MN",3172586115.0,41975.74674795835,Cost estimators
239,"Brookhaven Town (West Central) PUMA, NY",3168295300.0,44685.79201376045,"Crushing, grinding, polishing, mixing, & blending workers"
107,"Baldwin Park, Azusa, Duarte & Irwindale Cities PUMA, CA",3168055327.0,40733.13785323764,"Healthcare support workers, all other, including medical equipment preparers"
962,"Hollywood (South) & Pembroke Pines (East) Cities PUMA, FL",3166713361.0,42086.84037183151,Industrial & refractory machinery mechanics
233,"Bristol, Southington & Burlington Towns PUMA, CT",3166164389.0,45445.9053366357,"Textile machine setters, operators, and tenders"
1602,"Orange County (Northwest) PUMA, NY",3161944226.0,42236.07485576462,Social & community service managers
1687,"Philadelphia City (Far Northeast) PUMA, PA",3159883277.0,40826.57934388704,Miscellaneous health technologists & technicians
1751,"Portland, South Portland & Westbrook Cities PUMA, ME",3158834426.0,47093.75214468234,Billing & posting clerks
410,"Clay County (Northeast) PUMA, MO",3156308513.0,44665.35463107391,Firstline supervisors of housekeeping & janitorial workers
1453,"Muskegon County PUMA, MI",3155198402.0,41284.55671185517,Pharmacy technicians
235,"Brockton City, Stoughton & Avon Towns PUMA, MA",3154587191.0,43217.84928788216,Stationary engineers & boiler operators
1405,"Missouri City PUMA, TX",3154581607.0,47168.18532766851,Accountants & auditors
1847,"Roy, North Ogden, Ogden (Northwest) & West Haven Cities PUMA, UT",3152596049.0,43828.92693761162,"Miscellaneous material moving workers, including mine shuttle car operators, & tank car, truck, & ship loaders"
1775,"Raleigh City (East), Knightdale & Garner (North) Towns PUMA, NC",3152356808.0,44413.540570617966,Insurance claims & policy processing clerks
1431,"Moore & Montgomery Counties PUMA, NC",3149353457.0,45235.54783277639,Other teachers and instructors
1910,"San Marcos & Escondido (West) Cities PUMA, CA",3148569383.0,42239.901417359746,Clinical laboratory technologists & technicians
1294,"Manatee County (South) PUMA, FL",3143262364.0,47249.35673286938,Firstline supervisors of retail sales workers
68,"Ashburn, Washington Heights, Morgan Park & Beverly PUMA, IL",3138494641.0,42784.427497949335,Producers & directors
811,"Glynn Camden & McIntosh Counties PUMA, GA",3126298755.0,42122.01575594713,"Miscellaneous life, physical, & social science technicians, including social science research assistants"
99,"Babylon Town (Southeast) PUMA, NY",3125778896.0,42179.14774431777,"Opticians, dispensing"
1394,"Minneapolis City (Southeast) PUMA, MN",3125385739.0,43808.132000700716,Medical & health services managers
371,"Chattanooga (North) & Red Bank Cities PUMA, TN",3123242548.0,44033.570914170414,Pharmacy technicians
977,"Howard Beach & Ozone Park PUMA, NY",3122614559.0,42958.63192446861,"Crushing, grinding, polishing, mixing, & blending workers"
1224,"Lewisville City PUMA, TX",3121776491.0,45035.79757086532,Computer network architects
412,"Clay, Polk, Roseau, Pennington, Marshall, Norman, Kittson & Red Lake Counties PUMA, MN",3120740468.0,42523.908751090006,Janitors & building cleaners
1175,"Lake Havasu City PUMA, AZ",3119573497.0,42559.59205447569,Cabinetmakers & bench carpenters
1463,"Nashville-Davidson (Southeast) PUMA, TN",3116947741.0,44217.5812963784,"Healthcare support workers, all other, including medical equipment preparers"
2138,"Tangipahoa & Washington Parishes PUMA, LA",3115297227.0,40396.65507137587,"Other therapists, including exercise physiologists"
1986,"Soddy-Daisy City PUMA, TN",3112836109.0,46080.77628376802,"Miscellaneous agricultural workers, including animal breeders"
1216,"Lemon Grove City, La Presa & Spring Valley PUMA, CA",3110966173.0,44956.04532226177,Management analysts
1263,"Long Branch, Asbury Park Cities & Eatontown Borough PUMA, NJ",3109991474.0,46184.97247838044,Other healthcare practitioners & technical Occupations
131,"Beaches & Merritt Island PUMA, FL",3108979996.0,46243.91623717969,Pest control workers
94,"Aventura City & Surfside Town PUMA, FL",3108355317.0,48592.87214715707,Pharmacy technicians
726,"Fontana City (West) PUMA, CA",3108194596.0,41829.900535845656,"Heating, air conditioning, & refrigeration mechanics & installers"
1960,"Shawnee (Outside Topeka City), Osage, Jackson, Brown & Wabaunsee Counties PUMA, KS",3106554705.0,44968.23601545468,"Bookkeeping, accounting, & auditing clerks"
468,"Columbus (North), Westerville & Worthington Cities PUMA, OH",3105781594.0,45093.81949700356,Insurance claims & policy processing clerks
275,"Butte-Silver Bow & Helena City PUMA, MT",3105543059.0,43695.665660197315,"Property, real estate, & community association managers"
2255,"Washington, Caledonia, Orleans, Lamoille & Essex Counties PUMA, VT",3103044380.0,41375.28604917283,Locksmiths & safe repairers
1889,"San Diego City (Central/Mid-City) PUMA, CA",3101733113.0,42548.084458118065,"Child, family, and school social workers"
2243,"Warren County PUMA, NJ",3101296947.0,45332.88900137759,Automotive service technicians & mechanics
2229,"Walker, Catoosa, Chattooga & Dade Counties PUMA, GA",3099345353.0,41668.437893284645,Construction laborers
272,"Bushwick PUMA, NY",3098847713.0,43393.107503899955,Education administrators
240,"Brooklyn Center, Golden Valley, New Hope & Robbinsdale Cities PUMA, MN",3096728154.0,43046.7896458693,"Inspectors, testers, sorters, samplers, & weighers"
1842,"Rosenberg City, Pecan Grove & New Territory PUMA, TX",3094443039.0,45383.49976855725,Cleaners of vehicles & equipment
1670,"Penobscot County PUMA, ME",3091823291.0,42832.02701107086,Dietitians & nutritionists
933,"Henry, Mercer, Henderson, Warren, Hancock, McDonough & Fulton Counties PUMA, IL",3091313615.0,41602.48586160089,Data entry keyers
1062,"Jasper & Newton Counties PUMA, MO",3088632873.0,41659.19521724012,Chiropractors
296,"Carlisle Borough PUMA, PA",3086411379.0,40764.47668709612,Tax preparers
1215,"Lehigh Acres & North Fort Myers PUMA, FL",3086379043.0,42432.90194867828,Project management specialists
942,"Hickory City PUMA, NC",3085359821.0,41670.986913351786,Construction laborers
1853,"Rutland, Bennington & Addison Counties PUMA, VT",3085130068.0,41160.79493270136,Industrial production managers
1369,"Middle Georgia Regional Commission (North & Outside Bibb County) PUMA, GA",3085075445.0,42551.29437585286,"Motor vehicle operators, all other"
1228,"Leyden, Norwood Park (South) Townships & Chicago CityO'Hare PUMA, IL",3083876206.0,42849.70201328486,"Computer occupations, all other"
1016,"Inside Loop I-410 PUMA, TX (79500US4805902)",3083047098.0,45110.66026915289,Human resources workers
1660,"Passaic & Clifton (Southeast) Cities PUMA, NJ",3080964484.0,42267.023447355736,"Other education, training, & library workers"
1792,"Rapides & Vernon Parishes PUMA, LA",3080702948.0,43374.524904810234,Automotive body & related repairers
1936,"Schaumburg Township (South & Central) PUMA, IL",3079928479.0,44903.31462906038,Maids & housekeeping cleaners
1107,"Kent City PUMA, WA",3078596496.0,40502.095828552934,Nonfarm animal caretakers
1641,"Palm Beach Gardens & Riviera Beach Cities PUMA, FL",3076929480.0,47200.42526245789,"Educational, guidance, and career counselors and advisors"
1095,"Kansas City (North Central), Gladstone City & North Kansas City PUMA, MO",3076492451.0,42220.44682635342,Food preparation workers
357,"Chandler City (Northeast) PUMA, AZ",3072448818.0,44117.37714981165,Physician assistants
618,"East Central Wisconsin PUMA, WI",3071685306.0,41964.57428844469,Nurse practitioners & nurse midwives
142,"Belknap, Carroll & Merrimack (Northern) Counties PUMA, NH",3071666215.0,43714.81340832619,"Baggage porters, bellhops, & concierges"
1153,"La Crosse County PUMA, WI",3070472568.0,43812.206556162215,Electricians
1624,"Ouachita Parish PUMA, LA",3067156146.0,44477.362741065765,Software developers
625,"East New York & Starrett City PUMA, NY",3063936672.0,40401.47513532749,Surgical technologists
2059,"St. Clair Shores, Roseville & Eastpointe Area PUMA, MI",3062470110.0,43871.72663831055,Sales managers
1219,"Leominster, Fitchburg & Gardner Cities PUMA, MA",3056637271.0,44630.82536164894,Insurance underwriters
1558,"Nueces CountyCorpus Christi City (Outer) PUMA, TX",3053962459.0,43165.72449200461,Tool & die makers
588,"Douglas County PUMA, GA",3053930129.0,43106.68063733359,"Lawyers, & judges, magistrates, & other judicial workers"
2185,"Tucson City (Far Southeast) & Sahuarita Town PUMA, AZ",3053281231.0,44267.990348646126,Recreation workers
1815,"Ridgecrest, Arvin, Tehachapi & California City Cities PUMA, CA",3050345701.0,42986.74662650923,Machinists
1959,"Sharonville, Blue Ash, Springdale & Reading Cities PUMA, OH",3048043152.0,47193.08989403732,Billing & posting clerks
1893,"San Diego City (Southeast/Encanto & Skyline) PUMA, CA",3047387883.0,40959.49173466992,"Lawyers, & judges, magistrates, & other judicial workers"
144,"Bell County (West)Killeen & Harker Heights Cities PUMA, TX",3043921768.0,41217.17288307882,Recreation workers
1002,"Imperial Calcasieu Regional Planning & Development District 2 (South) PUMA, LA",3041001944.0,43747.74103340284,Human resources managers
688,"Eugene City (West & South) PUMA, OR",3040902445.0,42159.72861272693,Reservation & transportation ticket agents & travel clerks
1646,"Panhandle Regional Planning Commission (Outside Potter & Randall Counties) PUMA, TX",3040643602.0,40102.28873094967,Social & human service assistants
555,"Delano, Wasco & Shafter Cities PUMA, CA",3039460758.0,40687.67355684487,Tax preparers
701,"Far Rockaway, Breezy Point & Broad Channel PUMA, NY",3039347267.0,43913.741458233664,"Mail clerks & mail machine operators, except postal service"
499,"Crater Planning District Commission PUMA, VA",3033092295.0,41232.10857998591,Other assemblers and fabricators
513,"Cutler Bay Town & Palmetto Bay Village PUMA, FL",3029759377.0,45464.888080410085,"Bus drivers, transit and intercity"
1293,"Manatee County (North) PUMA, FL",3029199610.0,44457.78271730826,Recreation workers
2284,"West Central Minnesota PUMA, MN",3028452457.0,42292.50444637283,Helpersproduction workers
347,"Central Shenandoah Planning District Commission (Southwest) PUMA, VA",3025950335.0,40356.17163704147,"Entertainers & performers, sports & related workers, all other"
1123,"Knox, Stark, Bureau, Marshall & Woodford Counties PUMA, IL",3025732003.0,40767.99627198368,Telemarketers
17,"Albuquerque City (Far Northeast Heights) PUMA, NM",3025628203.0,46605.547048123095,"Purchasing agents, except wholesale, retail, & farm products"
1976,"Sioux City PUMA, IA",3025399944.0,42244.84703586359,"Shipping, receiving, & traffic clerks"
843,"Greater Newburgh City PUMA, NY",3024622118.0,42915.5591758471,Emergency medical technicians
528,"Davidson County PUMA, NC",3023689117.0,40638.91759903856,Computer & information systems managers
1642,"Palm Desert, La Quinta (West) & Desert Hot Springs Cities PUMA, CA",3023273925.0,43059.24947319361,Mental health counselors
461,"Columbia, Levy, Bradford, Gilchrist, Dixie & Union Counties PUMA, FL",3022298811.0,40898.9441323518,"Postal service mail sorters, processors, & processing machine operators"
77,"Auburn City & Lakeland PUMA, WA",3021382780.0,41531.20522130596,Chiropractors
224,"Bremerton & Port Orchard Cities PUMA, WA",3020498135.0,45256.1401101864,"Electrical, electronics, & electromechanical assemblers"
1187,"Lancaster City PUMA, CA",3020363742.0,43492.46134358063,Driver/sales workers & truck drivers
130,"Bayview & Hunters Point PUMA, CA",3017450920.0,41799.86967352163,Janitors & building cleaners
190,"Bloomington City PUMA, IN",3016153914.0,45178.662974747815,Insurance claims & policy processing clerks
1782,"Rancho Cordova City PUMA, CA",3015368828.0,45409.312264044645,Construction laborers
1640,"Palm Beach County (West of Boca Raton City) PUMA, FL",3014885033.0,44906.91409844071,Substance abuse and behavioral disorder counselors
816,"Graham, Elk Plain & Prairie Ridge PUMA, WA",3013172042.0,43509.08820488133,"Lawyers, & judges, magistrates, & other judicial workers"
1952,"Seminole County (South Central) PUMA, FL",3013169072.0,43822.76032949527,"Sales representatives, wholesale & manufacturing"
1442,"Mount Rogers Planning District Commission PUMA, VA",3011078713.0,41798.68275475015,Respiratory therapists
860,"Greene, Daviess, Owen, Orange & Martin Counties PUMA, IN",3010752370.0,42341.54703426326,Firstline supervisors of correctional officers
1011,"Inland Region PUMA, CA",3009914959.0,44274.21069433222,Other managers
1466,"Natrona, Carbon & Converse Counties PUMA, WY",3007143211.0,44603.327259607344,Firefighters
1306,"Maricopa County (West) & Gila River Indian Community (Northwest) PUMA, AZ",3005661285.0,44500.4957694091,"Bookkeeping, accounting, & auditing clerks"
1148,"LA City (South Central/Westmont) PUMA, CA",3004078865.0,36329.82998284213,Carpenters
936,"Hernando County PUMA, FL",3003482862.0,42715.22195335385,"Miscellaneous office & administrative support workers, including desktop publishers"
938,"Hesperia City & Apple Valley Town PUMA, CA",2999901961.0,40550.75549899976,"Miscellaneous agricultural workers, including animal breeders"
194,"Bluegrass Area Development District (Northeast) PUMA, KY",2999822247.0,44262.22269152386,"Miscellaneous agricultural workers, including animal breeders"
2377,"Yuma City PUMA, AZ",2999169784.0,42496.70672811033,Teaching assistants
2064,"St. George City PUMA, UT",2999100297.0,42315.41735008386,Purchasing managers
438,"Coeur d'Alene, Post Falls & Hayden Cities PUMA, ID",2996916310.0,43512.51054816746,"Doortodoor sales workers, news & street vendors, & related workers"
584,"Doral, Sweetwater Cities & Fontainebleau PUMA, FL",2995504287.0,44096.878454316975,"Social workers, all other"
743,"Fort Worth City (West) PUMA, TX",2995149524.0,46613.00124058555,"Inspectors, testers, sorters, samplers, & weighers"
416,"Clearfield, McKean, Elk, Potter & Cameron Counties PUMA, PA",2992964621.0,41863.41478415361,Nonfarm animal caretakers
1311,"Marion, Knox & Morrow Counties PUMA, OH",2991289441.0,41828.000694133305,"Interviewers, except eligibility & loan"
1041,"Jackson County (East) PUMA, MO",2991081408.0,44523.87882670986,"Social workers, all other"
2376,"Yuba City PUMA, CA",2990856645.0,43779.58854480997,Library technicians
1616,"Oro Valley Town PUMA, AZ",2990351387.0,45077.324675143114,Credit counselors & loan officers
606,"Durham City (North) PUMA, NC",2989047845.0,45661.214464625016,Editors
505,"Crown Heights South, Prospect Lefferts & Wingate PUMA, NY",2986502808.0,43937.02817481356,Laundry & drycleaning workers
1212,"Lebanon County PUMA, PA",2985353807.0,41792.435978584006,Compliance officers
1189,"Lancaster, Chesterfield & Marlboro Counties PUMA, SC",2983311235.0,42187.70687968098,Taxi drivers
1139,"LA City (North Central/Granada Hills & Sylmar) PUMA, CA",2983276299.0,45836.17942501268,Medical secretaries and administrative assistants
98,"Babylon Town (Northwest) PUMA, NY",2981854117.0,42264.62955557971,Medical records specialists
2157,"Thurston County (Outer) PUMA, WA",2980812154.0,46059.221254216165,Firstline supervisors of police & detectives
19,"Albuquerque City (Northwest Mesa), Paradise Hills & Navajo Nation-Tohajiilee Chapter PUMA, NM",2980014255.0,45612.77651368697,Compliance officers
2287,"West Columbia, Cayce Cities, Irmo Town & Seven Oaks PUMA, SC",2979509533.0,44523.393896438596,"Ambulance drivers & attendants, except emergency medical technicians"
1296,"Manchester & East Hartford Towns PUMA, CT",2978392120.0,45314.366122697036,Cashiers
2025,"Southeast Utah & Uintah Basin Region PUMA, UT",2976691588.0,41695.38198594,Machinists
386,"Chester City PUMA, PA",2974395707.0,41725.81547281744,Medical transcriptionists
1335,"Memphis (East), Lakeland Cities & Arlington Town (South) PUMA, TN",2974180081.0,44989.486463860274,"Electric motor, power tool, & related repairers"
1283,"Mack & Dent PUMA, OH",2971079279.0,44927.19031010254,Dishwashers
1703,"Phoenix City (Uptown) PUMA, AZ",2967946414.0,46307.65603207064,Fire inspectors
2142,"Tazewell County PUMA, IL",2964640498.0,42768.783463157,Diagnostic medical sonographers
850,"Greater Utica & Rome Cities PUMA, NY",2964167642.0,41830.077174304184,"Opticians, dispensing"
1846,"Rowlett & Garland (Northeast) Cities PUMA, TX",2958984856.0,43568.77263035058,Stockers and order fillers
1279,"Lycoming & Clinton Counties PUMA, PA",2957247634.0,42263.8030116584,Cooks
35,"Altoona City PUMA, PA",2956320580.0,42047.27519490482,Software developers
1896,"San Jacinto, Beaumont, Banning & Calimesa Cities PUMA, CA",2952688218.0,41209.5884439012,Preschool & kindergarten teachers
1103,"Kendall (North), Sunset & Westwood Lakes PUMA, FL",2949002700.0,46894.856136567534,Maids & housekeeping cleaners
441,"Cole, Callaway, Moniteau & Osage Counties PUMA, MO",2947709879.0,43012.036154882015,Bill & account collectors
427,"Clovis City PUMA, CA",2945375866.0,45597.6524008852,Firstline supervisors of nonretail sales workers
612,"Eagle City PUMA, ID",2942763354.0,42924.115431694525,Pharmacists
1618,"Osceola County (East) PUMA, FL",2942661230.0,39663.061038661865,Tax preparers
389,"Chico City PUMA, CA",2941995241.0,42544.27272831518,"Healthcare support workers, all other, including medical equipment preparers"
93,"Austin, Belmont Cragin & Montclare PUMA, IL",2940703808.0,39267.75347842299,Paramedics
1699,"Phoenix City (Northeast Central) PUMA, AZ",2940585239.0,44208.715668513156,Phlebotomists
659,"Elizabethtown Borough PUMA, PA",2937816804.0,43414.654805183025,Nonfarm animal caretakers
2332,"Will County (South) PUMA, IL",2936349433.0,42376.11621279396,Financial analysts
1143,"LA City (Northeast/Sunland, Sun Valley & Tujunga) PUMA, CA",2936172419.0,42551.34708337596,"Office clerks, general"
803,"Glades & Western Communities PUMA, FL",2935181840.0,43668.62368386725,"Architects, except landscape and naval"
1575,"Ocean County (South) PUMA, NJ",2933341011.0,45367.96082379999,Ship & boat captains & operators
1714,"Pinellas County (North) PUMA, FL",2930462520.0,44669.86384616655,"Food servers, nonrestaurant"
1833,"Rock Island County PUMA, IL",2930417361.0,42938.16067975227,Adhesive bonding machine operators & tenders
168,"Between Loop I-610 & Beltway TX-8 PUMA, TX (79500US4804612)",2928835684.0,47737.1594666495,Tellers
470,"Columbus (South), Grove Cities & Groveport Village PUMA, OH",2924151988.0,42733.98548263029,"Office clerks, general"
2002,"South Miami City, Westchester & Coral Terrace PUMA, FL",2921987670.0,46991.969127442055,"Electrical & electronics repairers, transportation equipment, & industrial & utility"
1935,"Sauk & Columbia Counties PUMA, WI",2917624391.0,42116.03745352508,"Hosts & hostesses, restaurant, lounge, & coffee shop"
2215,"Vancouver City (West & Central) PUMA, WA",2912552848.0,44495.67584357169,"Shipping, receiving, & traffic clerks"
1232,"Lincoln & Cleveland (East) Counties PUMA, NC",2910016182.0,43215.45769465627,Agricultural and food science technicians
12,"Alamo Area COG (Northwest) & Blanco County PUMA, TX",2909914843.0,44607.570057894394,Food service managers
1864,"Salinas City PUMA, CA",2908364123.0,39641.2906853855,"Purchasing agents, except wholesale, retail, & farm products"
714,"Flagstaff City PUMA, AZ",2905305619.0,42638.10915451525,Structural iron & steel workers
1105,"Kennewick & Richland (South) Cities PUMA, WA",2902908232.0,43289.70327431214,Landscaping and groundskeeping workers
1034,"Islip Town (Northwest) PUMA, NY",2900963373.0,38300.12307099638,Electrical and electronic engineering technologists and technicians
1674,"Perry & Decatur (South & East) TownshipsIndianapolis City (South) PUMA, IN",2900448863.0,41970.28279135644,Registered nurses
1574,"Ocean County (Northwest) PUMA, NJ",2898210955.0,41514.59625917227,Locomotive engineers & operators
852,"Greece & Gates Towns PUMA, NY",2896379276.0,44105.15087085744,Home health aides
1082,"Joliet & Troy Townships PUMA, IL",2896164096.0,39844.060238215505,Dental assistants
807,"Glendale City (North) PUMA, AZ",2894832408.0,42860.76208765209,Other drafters
319,"Carson City PUMA, CA",2893652425.0,43038.50939362038,"Educational, guidance, and career counselors and advisors"
1091,"Kandiyohi, McLeod, Meeker, Renville & Sibley Counties PUMA, MN",2892443069.0,43470.634238832434,School bus monitors
1119,"Kingston Borough PUMA, PA",2889927598.0,42616.62217108513,"Securities, commodities, & financial services sales agents"
1087,"KIPDA Area Development District (Southeast) PUMA, KY",2888736415.0,44171.74886145193,Detectives & criminal investigators
1601,"Orange County (Northwest) PUMA, FL",2884133925.0,42056.898529030055,"Property, real estate, & community association managers"
833,"Greater Delray Beach City PUMA, FL",2881543522.0,43603.465739103216,Photographers
2145,"Tempe City (North) PUMA, AZ",2879494350.0,43681.49470715213,Paramedics
3,"Adams & Franklin (Southeast) Counties PUMA, PA",2879113253.0,43833.93703186471,Sales managers
52,"Apache Junction City PUMA, AZ",2878774068.0,42672.44149086681,Social & human service assistants
2206,"Upland & Montclair Cities PUMA, CA",2877894281.0,42524.12332276202,File clerks
1648,"Paradise (Northwest) & Winchester PUMA, NV",2877566343.0,40461.874515232616,"Religious workers, all other"
2090,"Starkville, Columbus & West Point Cities PUMA, MS",2875595340.0,41711.1182094609,Accountants & auditors
1044,"Jackson County PUMA, MI",2875183033.0,42244.07424166944,Paralegals & legal assistants
2184,"Tucson (West) & Marana Cities PUMA, AZ",2873396419.0,43576.779137608726,Childcare workers
1945,"Seat Pleasant City, Capitol Heights Town & Landover PUMA, MD",2872801128.0,40951.855803944876,Recreation workers
333,"Catonsville, Woodlawn & Arbutus PUMA, MD",2872786500.0,43843.421402176304,Secondary school teachers
221,"Brazos Valley COG (Outside Brazos County) & Milam County PUMA, TX",2871968878.0,41468.6508596887,"Coin, vending, & amusement machine servicers & repairers"
201,"Bonita Springs City & Estero (East) PUMA, FL",2871322237.0,47493.581732011146,Electricians
2308,"Western Upper Peninsula PUMA, MI",2870583161.0,42712.19545062518,"Farmers, ranchers, & other agricultural managers"
744,"Fountain City PUMA, CO",2869290250.0,43755.3903979746,"Medical, dental, & ophthalmic laboratory technicians"
1261,"Long Beach City (North) PUMA, CA",2868575087.0,42884.70844601572,Licensed practical & licensed vocational nurses
199,"Boise (North & West) & Garden City Cities PUMA, ID",2867442719.0,46782.14404627238,Construction laborers
526,"Darke, Shelby & Preble Counties PUMA, OH",2867095868.0,42424.48932835221,Sales managers
2343,"Windsor, Windham & Orange Counties PUMA, VT",2866245912.0,42800.86869261173,Landscape architects
741,"Fort Worth City (South Central) & Edgecliff Village Town PUMA, TX",2864407593.0,42726.640049652495,Water & wastewater treatment plant & system operators
1718,"Pittsfield City PUMA, MA",2863589471.0,42655.56089726808,Firstline supervisors of housekeeping & janitorial workers
1303,"Maplewood, Roseville & North St. Paul Cities PUMA, MN",2862355805.0,43846.105389297714,Other Sales Workers
262,"Buncombe County (Northwest) PUMA, NC",2860115862.0,42764.59419062473,Sales managers
2154,"Thornton Township PUMA, IL",2859615912.0,40491.57135533779,Physical therapist assistants & aides
1479,"New Haven Town PUMA, CT",2858914761.0,43644.13729811192,Janitors & building cleaners
349,"Central Texas COG (West), Burnet & Llano Counties PUMA, TX",2858324793.0,42093.71906347241,Public relations specialists
1049,"Jackson, Williamson, Franklin & Perry Counties PUMA, IL",2856043348.0,43466.17779412813,Other teachers and instructors
2047,"Springfield City (South) PUMA, MO",2852715111.0,44791.00203625095,"Bus drivers, school"
1483,"New Orleans City (Northeast) PUMA, LA",2850519912.0,45577.73672900687,Other entertainment attendants and related workers
1421,"Monterey (South & East) & San Benito Counties PUMA, CA",2848877502.0,41451.73828602,"Social workers, all other"
1076,"Jersey Village CityBetween Beltway TX-8 & FM-1960 PUMA, TX",2848555364.0,43732.45591545166,Dietetic technicians and ophthalmic medical technicians
2022,"Southeast Nebraska PUMA, NE",2847461638.0,40222.58406735302,"Cutting, punching, and press machine setters, operators, and tenders, metal and plastic"
1985,"Socorro & Horizon Cities PUMA, TX",2847135436.0,39384.64224983872,"Graders & sorters, agricultural products"
1202,"Lawrence City PUMA, KS",2843945759.0,43536.01776532771,Training & development managers
1097,"Kansas City PUMA, KS",2842775403.0,42031.16051087506,Waiters & waitresses
2238,"Warren & Center Line Cities PUMA, MI",2840895994.0,41112.872419686486,Construction & building inspectors
892,"Hampton City PUMA, VA",2839685603.0,42896.03678016902,Embalmers & funeral attendants
231,"Bristol (Outside New Bedford City) & Plymouth (South) Counties PUMA, MA",2838791195.0,43833.95081835657,Laundry & drycleaning workers
1229,"Liberty & Chambers Counties PUMA, TX",2837287926.0,41158.05367948228,Civil engineers
2152,"Thomas Jefferson Planning District Commission (South & East) PUMA, VA",2837255746.0,48498.29915403678,Nursing assistants
1561,"Oak Ridge City (West) PUMA, TN",2836115465.0,43523.95807545381,Printing press operators
1559,"Nuuanu to Kalihi PUMA, HI",2835813188.0,41474.42419580634,"Welding, soldering, & brazing workers"
975,"Houston City (West)North of US-90 & West of TX-6 PUMA, TX",2835175866.0,43757.56017429667,Water & wastewater treatment plant & system operators
1858,"Sacramento City (Southwest/Pocket, Meadowview & North Laguna) PUMA, CA",2834931796.0,42381.74608465744,Education administrators
2103,"Subsistence Alaska PUMA, AK",2834605540.0,40197.07780863349,Surveying & mapping technicians
